,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
552,A Capella,MC6 A Cappella,For the Longest Time,0PuWvFJqZPJAxZNrFgw8xL,44,2,0.78,0.616,223813,0.298,0.0,D,0.0973,-7.712000000000001,Major,0.0274,82.471,4/4,0.7120000000000001
553,A Capella,The Singers Unlimited,Clair,1iXJKuzDH0E6PnTk2lQXAq,33,2,0.973,0.484,154200,0.222,0.000306,F,0.10400000000000001,-14.630999999999998,Minor,0.044000000000000004,127.689,4/4,0.409
554,A Capella,MC6 A Cappella,Come Go With Me,3XxwdU13609bTGaAFRg3PA,25,1,0.802,0.7170000000000001,137800,0.518,0.0,G#,0.094,-7.754,Major,0.0883,129.878,4/4,0.672
555,A Capella,MC6 A Cappella,The Lion Sleeps Tonight,0crWDkAajRTnsGuZ6CAU85,26,2,0.302,0.691,183920,0.49,6.5000000000000004e-06,F,0.22899999999999998,-11.222000000000001,Major,0.0743,107.066,4/4,0.664
556,A Capella,Glad,A Debtor to Mercy Alone,6TK4I15u1oym5H2eETng4F,24,1,0.599,0.389,181267,0.153,0.0,E,0.0902,-12.023,Major,0.043,120.626,4/4,0.23600000000000002
557,A Capella,Glad,O Wondrous Love,0PCgsZKSCmsDlHBXRTdejp,23,1,0.7929999999999999,0.349,228147,0.0913,1.61e-06,F,0.141,-15.003,Major,0.0396,120.405,3/4,0.15
558,A Capella,MC6 A Cappella,Blue Moon,54eOtB9Vz0nli6U5Ez00ep,23,1,0.6679999999999999,0.747,135107,0.505,0.0,G,0.10099999999999999,-9.263,Major,0.0746,122.177,4/4,0.716
559,A Capella,MC6 A Cappella,Runaround Sue,6iAU2N1jJqY9qUGvBTHtWa,23,1,0.6559999999999999,0.705,159120,0.57,0.0,A#,0.0897,-7.124,Major,0.0983,81.977,4/4,0.652
560,A Capella,MC6 A Cappella,Teenager in Love,5FeU992vNw1J8j8aEw7vcR,22,1,0.835,0.583,175000,0.318,0.0,C#,0.11800000000000001,-8.252,Major,0.0311,75.911,4/4,0.51
561,A Capella,MC6 A Cappella,Sherry,6kYfnFjxQYx2WkBW5jIiiI,23,1,0.36,0.654,150027,0.42700000000000005,0.0,A#,0.15,-7.962999999999999,Major,0.0379,125.39,4/4,0.8109999999999999
562,A Capella,MC6 A Cappella,Goodnight Sweetheart,7dv7qZnNL5ihfvDRG699Xy,23,1,0.83,0.628,144867,0.299,0.0,G,0.31,-9.482999999999999,Major,0.0473,135.89600000000002,1/4,0.557
563,A Capella,Peter Hollens,December Song (A Capella Bonus Track),6ErNbBNEpZcg3Pjboi8R7j,20,1,0.863,0.253,238039,0.41700000000000004,6.33e-06,F#,0.0974,-3.5610000000000004,Major,0.0287,143.374,3/4,0.20800000000000002
564,A Capella,MC6 A Cappella,409/Little Deuce Coupe,21mQiZt0PNxJw6RQFtlAoi,20,1,0.782,0.55,211133,0.44799999999999995,0.0,G#,0.0657,-7.921,Major,0.0655,115.038,4/4,0.8909999999999999
565,A Capella,MC6 A Cappella,In the Still of the Night,10dia2iL9YWckDnz44UfDl,20,1,0.715,0.311,189933,0.442,0.0,A,0.141,-9.487,Major,0.0448,69.001,4/4,0.46299999999999997
566,A Capella,MC6 A Cappella,So Much in Love,2mvF3b4g2kkEDwK4b1AuOJ,19,1,0.83,0.55,185800,0.272,0.0,C,0.13,-10.649000000000001,Minor,0.0262,79.045,4/4,0.583
567,A Capella,Peter Hollens,December Song [Bonus Track] - A Capella,0FXAP0YeMzfgPQpLp5ZTOv,18,1,0.861,0.185,238053,0.39399999999999996,5.08e-06,F#,0.0949,-3.555,Major,0.0324,45.957,4/4,0.191
568,A Capella,MC6 A Cappella,Since You've Been Gone,6VUdwP2f9JZLLzi6ncOuV4,18,1,0.846,0.603,99973,0.396,0.0,G#,0.0735,-7.4510000000000005,Major,0.0665,125.115,5/4,0.593
569,A Capella,Glad,Christ the Lord is Risen Today,3w9eYozECT0ANTETwLrMO7,16,1,0.8220000000000001,0.381,222827,0.264,0.0,C,0.0978,-11.138,Major,0.035,122.419,1/4,0.439
570,A Capella,MC6 A Cappella,Surfer Girl,0m8ZjsRZYRQlj7gpp9x1QI,18,1,0.69,0.524,174320,0.298,0.0,G#,0.315,-9.789,Major,0.0254,94.508,3/4,0.5429999999999999
571,A Capella,Glad,Receive the Glory,5vPd4b35pDqo7Mwe2POO4D,17,1,0.83,0.384,198400,0.172,0.0,A#,0.195,-9.962,Major,0.0333,122.06,4/4,0.174
572,A Capella,MC6 A Cappella,One Fine Day,32tK9k8wxjLk2ecV5gWtUo,18,1,0.628,0.784,174253,0.7020000000000001,0.0,B,0.133,-7.54,Major,0.0834,95.975,4/4,0.727
573,A Capella,MC6 A Cappella,Up On the Roof,0r2kt0tDKGyDlO1fUZFYmC,17,1,0.845,0.457,176013,0.252,0.0,D,0.10300000000000001,-8.72,Major,0.0265,104.6,3/4,0.268
