,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
671,Alternative,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,83,4,0.42200000000000004,0.552,180019,0.65,0.000275,C#,0.37200000000000005,-7.199,Major,0.128,167.78799999999998,4/4,0.316
672,Alternative,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,81,4,0.544,0.515,209274,0.479,0.00598,D#,0.191,-7.457999999999999,Major,0.0261,88.964,4/4,0.284
673,Alternative,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,76,4,0.619,0.672,174358,0.588,0.24100000000000002,C#,0.0992,-9.573,Major,0.133,169.033,4/4,0.204
674,Alternative,Oliver Tree,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,73,3,0.111,0.8029999999999999,163525,0.599,0.0,C#,0.23600000000000002,-5.169,Major,0.0985,130.107,4/4,0.484
675,Alternative,Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,74,3,0.684,0.9,107077,0.316,0.0771,A,0.0853,-8.797,Major,0.332,129.914,4/4,0.8440000000000001
676,Alternative,88-Keys,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,73,3,0.24,0.525,202391,0.774,1.07e-06,A,0.495,-4.532,Major,0.24100000000000002,154.192,4/4,0.526
677,Alternative,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,78,4,0.0319,0.731,200373,0.861,0.0,B,0.0829,-5.881,Major,0.0323,104.03399999999999,4/4,0.78
678,Alternative,Jhene Aiko,Triggered (freestyle),3PAptX72PPmjj1Igms0zjo,73,3,0.81,0.47100000000000003,211227,0.41100000000000003,0.0,C,0.135,-9.5,Major,0.295,89.484,1/4,0.363
679,Alternative,Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,77,4,0.00836,0.818,222640,0.705,0.00233,F#,0.613,-6.678999999999999,Major,0.177,138.559,4/4,0.772
680,Alternative,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,72,3,2.8600000000000004e-05,0.516,301920,0.9059999999999999,0.000101,C#,0.105,-4.525,Major,0.0658,116.775,4/4,0.728
681,Alternative,Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,71,3,0.0209,0.561,145558,0.782,0.0,C,0.315,-5.8629999999999995,Major,0.04,94.00399999999999,4/4,0.486
682,Alternative,Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,78,4,0.0576,0.5589999999999999,264307,0.345,0.000105,E,0.141,-13.495999999999999,Major,0.0459,84.581,4/4,0.45799999999999996
683,Alternative,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,76,4,0.00847,0.56,218013,0.9359999999999999,0.0,D#,0.161,-5.835,Major,0.0439,112.96,4/4,0.371
684,Alternative,Oliver Tree,Miracle Man,6VWnV3to6fZdaLQyhhLPRE,71,3,0.0754,0.677,124680,0.46,0.0,C,0.429,-8.175,Major,0.0312,139.982,4/4,0.677
