,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
688,Country,Cam,My Mistake,5ICoYTFfmUKguBHpINKkGL,45,2,0.00821,0.551,200013,0.7040000000000001,2.25e-06,G#,0.245,-5.426,Major,0.0444,97.075,4/4,0.541
689,Country,Kevin Fowler,That Girl,0rk6JE7ODyGWWquK4y7t1u,42,2,0.0272,0.375,208187,0.8590000000000001,0.0,G,0.267,-3.2430000000000003,Major,0.0569,74.059,4/4,0.597
690,Country,Roger Miller,Chug-A-Lug,3vMwtAfDNM8dDBWMvS78pn,46,2,0.69,0.6990000000000001,123360,0.408,0.00021899999999999998,B,0.145,-11.46,Major,0.096,171.922,4/4,0.8420000000000001
691,Country,M. Ward,Chinese Translation,7IJlk42gDKt5dfSSLwtEsp,54,3,0.152,0.555,238600,0.726,0.000178,D,0.14800000000000002,-8.939,Major,0.0368,107.719,4/4,0.505
692,Country,Chris Cagle,Anywhere But Here,2JxSaSRavL82FCTCPzVmEf,42,2,0.5710000000000001,0.64,243000,0.478,0.0,B,0.0902,-6.96,Major,0.033,136.717,4/4,0.315
693,Country,Cassadee Pope,I Wish I Could Break Your Heart,4wrjIq1lskP8tZuQBEdcux,44,2,0.13,0.435,220413,0.846,0.0,G#,0.092,-4.169,Major,0.0496,199.895,4/4,0.631
694,Country,Mark Chesnutt,Too Cold At Home,5oqxLuRvQFjV4k0orrXs5d,41,2,0.19899999999999998,0.638,219573,0.41200000000000003,9.27e-06,D,0.319,-12.901,Major,0.0242,92.83200000000001,4/4,0.509
695,Country,Gary Allan,Get Off On The Pain,0DJev1kGOCzaY8Ae3oQwH0,42,2,0.0293,0.387,234307,0.8740000000000001,1.7199999999999998e-05,C,0.171,-4.5280000000000005,Major,0.053,168.105,4/4,0.674
696,Country,"Hank Williams, Jr.",Old Habits,17zj9e1nYLJaKjqKuwWCht,42,2,0.17300000000000001,0.633,183600,0.444,3.33e-06,D,0.0821,-14.09,Major,0.0264,106.111,3/4,0.45
697,Country,Ryan Adams,When The Stars Go Blue,04rMpRstoJt3uvqyNGKczX,52,3,0.469,0.5870000000000001,211667,0.201,2.58e-05,A#,0.11900000000000001,-13.299000000000001,Major,0.0301,90.01799999999999,4/4,0.3
698,Country,Jason Aldean,Fast,0B5U0yusM7L7pyJO6wJqTb,41,2,0.29100000000000004,0.5379999999999999,254040,0.665,7.16e-06,F#,0.0809,-5.189,Major,0.0327,132.085,4/4,0.34
699,Country,Adam Sanders,Sippin' on the Good Times,7n82MsJYnUxW67iFAtZdkW,42,2,0.0566,0.505,188018,0.7559999999999999,0.0,E,0.198,-7.972,Major,0.0447,156.088,4/4,0.898
700,Country,Linda Ronstadt,Don't Know Much (with Aaron Neville),4x9y3JSvsjBTbm4uEnBrdT,58,3,0.657,0.401,211973,0.285,1.13e-05,B,0.158,-11.005,Major,0.0327,130.465,4/4,0.267
701,Country,Tommy Chayne,King of the Pines (feat. Upchurch),0tCWyBFWM4M5qhaSeyuAGo,44,2,0.0181,0.7340000000000001,197176,0.8079999999999999,0.0,B,0.32299999999999995,-5.375,Minor,0.23199999999999998,149.995,4/4,0.433
702,Country,The Reklaws,Long Live The Night,0tCsWWCdQFpDmCsTrnZO69,51,3,0.005370000000000001,0.547,206013,0.779,0.0,G,0.14,-5.563,Major,0.0358,126.97,4/4,0.361
703,Country,Pistol Annies,Sugar Daddy,0onvnJVl8K9ldJvufVgwSR,43,2,0.00761,0.647,218147,0.87,2.15e-05,C,0.23,-6.032,Minor,0.035,129.26,4/4,0.912
704,Country,Carrie Underwood,Chaser,76vVrWGgSYz7r0rYEwU807,45,2,0.06,0.493,262720,0.78,0.000248,C,0.192,-4.127,Major,0.0485,119.99600000000001,4/4,0.19
705,Country,Colter Wall,Thinkin' on a Woman,2ZjaJHlOoxFPo1X2a96Lp3,47,2,0.47600000000000003,0.41700000000000004,200055,0.322,3.19e-06,D,0.16,-10.992,Major,0.0538,203.84,4/4,0.395
706,Country,Bobby Bare,The Winner,1gTCzUascRfdigO7PgpT6k,43,2,0.773,0.687,320040,0.5429999999999999,2.19e-06,G,0.705,-10.151,Major,0.0521,129.296,5/4,0.807
707,Country,Chris Lane,Laps Around The Sun,6JlQE8m1L6Ys4Q8F8m3CHN,42,2,0.19699999999999998,0.5770000000000001,212707,0.784,0.0,F#,0.0963,-4.396,Major,0.0493,158.085,4/4,0.757
708,Country,Holly Dunn,Daddy's Hands,2VPnnOGXmejtKqxGY4jg66,45,2,0.54,0.551,209467,0.26899999999999996,0.0,D,0.10300000000000001,-9.782,Major,0.027999999999999997,76.51100000000001,4/4,0.47600000000000003
