,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22169,Electronic,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,96,4,0.153,0.841,212500,0.7979999999999999,3.33e-06,C#,0.0618,-4.206,Minor,0.22899999999999998,95.948,4/4,0.591
22170,Electronic,DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,82,4,0.0771,0.652,205947,0.713,1.0199999999999999e-05,G#,0.14400000000000002,-5.311,Major,0.0368,100.023,4/4,0.152
22171,Electronic,RL Grime,UCLA,3OaunNUlXXs5e2PXtNAzzG,70,3,0.0742,0.536,192000,0.879,0.0,C#,0.0847,-3.0189999999999997,Major,0.0621,140.137,4/4,0.33399999999999996
22172,Electronic,DJ Snake,Middle,0g5EKLgdKvNlln7TNqBByK,78,4,0.0203,0.586,220573,0.701,0.0,C#,0.055,-5.3260000000000005,Minor,0.0416,104.95700000000001,4/4,0.254
22173,Electronic,New Order,Blue Monday - 2016 Remastered Version,1RSy7B2vfPi84N80QJ6frX,73,3,0.000726,0.7929999999999999,450800,0.703,0.88,C,0.075,-9.548,Major,0.0581,130.27,4/4,0.856
22174,Electronic,Daft Punk,One More Time,0DiWol3AO6WpXZgp0goxAV,74,3,0.0193,0.611,320357,0.6970000000000001,0.0,D,0.332,-8.618,Major,0.133,122.75200000000001,4/4,0.47600000000000003
22175,Electronic,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,76,4,0.0426,0.794,248413,0.8109999999999999,1.07e-06,F#,0.10099999999999999,-8.966000000000001,Minor,0.038,116.04700000000001,4/4,0.862
22176,Electronic,San Holo,Light,6jq6rcOikCZAmjliAgAmfT,71,3,0.0857,0.57,239853,0.763,2.49e-06,C#,0.0932,-4.137,Major,0.0573,150.088,4/4,0.43
22177,Electronic,Yellow Claw,DJ Turn It Up,1ivuWgxFQb2xzxVNSlB1hF,74,3,0.000956,0.8290000000000001,211777,0.695,0.17800000000000002,C#,0.11199999999999999,-5.561,Major,0.0473,102.01799999999999,4/4,0.369
22178,Electronic,Daft Punk,Instant Crush,2cGxRwrMyEAp8dEbuZaVv6,74,3,0.0422,0.775,337560,0.585,0.619,A#,0.077,-9.516,Minor,0.0271,109.94200000000001,4/4,0.518
22179,Electronic,DJ Snake,You Know You Like It,57kR5SniQIbsbVoIjjOUDa,73,3,0.0113,0.426,247267,0.722,1.27e-06,F,0.262,-5.369,Minor,0.196,196.13299999999998,4/4,0.25
