,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
66607,Hip-Hop,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,96,4,0.149,0.8370000000000001,213594,0.364,0.0,G#,0.271,-11.713,Major,0.276,123.984,4/4,0.46299999999999997
66608,Hip-Hop,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,95,4,0.259,0.889,180522,0.496,0.0,E,0.252,-6.365,Minor,0.0905,86.00299999999999,4/4,0.544
66609,Hip-Hop,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,93,4,0.0395,0.8370000000000001,288624,0.636,0.00125,C#,0.342,-7.643,Major,0.086,145.972,4/4,0.27399999999999997
66610,Hip-Hop,Rich The Kid,Splashin,79OEIr4J4FHV0O3KrhaXRb,88,4,0.00195,0.9420000000000001,177806,0.38299999999999995,0.0,A#,0.0922,-8.099,Major,0.565,100.021,4/4,0.38
66611,Hip-Hop,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,92,4,0.19399999999999998,0.7290000000000001,183907,0.625,0.009859999999999999,E,0.248,-5.266,Major,0.0315,146.034,4/4,0.261
66612,Hip-Hop,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,92,4,0.10300000000000001,0.8959999999999999,145543,0.6709999999999999,0.0,C#,0.552,-6.977,Minor,0.289,112.50200000000001,4/4,0.358
66613,Hip-Hop,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,92,4,0.258,0.74,166606,0.613,0.00372,G#,0.12300000000000001,-4.88,Major,0.145,75.023,4/4,0.473
66614,Hip-Hop,Mustard,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,91,4,0.172,0.68,194520,0.5589999999999999,0.0,C,0.318,-5.545,Major,0.129,202.00599999999997,4/4,0.13699999999999998
66615,Hip-Hop,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,93,4,0.0521,0.861,228760,0.603,0.0,G#,0.0924,-5.787999999999999,Minor,0.17600000000000002,98.04299999999999,4/4,0.504
66616,Hip-Hop,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,90,4,0.107,0.792,195637,0.743,0.0,G,0.183,-2.806,Major,0.0851,150.024,4/4,0.742
66617,Hip-Hop,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,91,4,0.556,0.9209999999999999,135090,0.537,0.00404,A,0.102,-5.723,Minor,0.0804,128.009,4/4,0.711
66618,Hip-Hop,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,89,4,0.00381,0.8,204665,0.578,0.0,E,0.359,-5.144,Minor,0.0485,143.01,4/4,0.36700000000000005
66619,Hip-Hop,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,90,4,0.469,0.872,119133,0.391,4.13e-06,C,0.297,-9.144,Minor,0.242,134.02100000000002,4/4,0.43700000000000006
66620,Hip-Hop,Logic,Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,87,4,0.0591,0.71,225987,0.888,0.0,D,0.134,-6.457000000000001,Major,0.235,170.19299999999998,4/4,0.816
66621,Hip-Hop,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,87,4,0.368,0.9009999999999999,203267,0.46399999999999997,1.7100000000000002e-05,F,0.23800000000000002,-9.789,Minor,0.0645,109.00399999999999,4/4,0.638
66622,Hip-Hop,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,90,4,0.0236,0.884,232959,0.5589999999999999,0.0,C,0.10099999999999999,-7.442,Major,0.12,97.994,4/4,0.342
66623,Hip-Hop,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,87,4,0.0172,0.797,146520,0.5329999999999999,0.000152,C,0.10300000000000001,-9.74,Minor,0.0412,131.036,4/4,0.32899999999999996
66624,Hip-Hop,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,89,4,0.0332,0.754,198973,0.449,8.290000000000001e-05,G,0.552,-9.211,Major,0.109,77.169,4/4,0.35700000000000004
66625,Hip-Hop,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,85,4,0.113,0.8079999999999999,166400,0.617,0.0,A#,0.7340000000000001,-9.32,Minor,0.442,149.96200000000002,4/4,0.632
66626,Hip-Hop,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,85,4,0.111,0.935,145627,0.552,0.0,A#,0.0952,-9.373,Minor,0.335,99.993,4/4,0.615
66627,Hip-Hop,Future,Fine China,5274I4mUMnYczyeXkGDWZN,85,4,0.0484,0.6559999999999999,141587,0.542,0.0,G,0.126,-7.358,Major,0.32299999999999995,166.111,4/4,0.551
66628,Hip-Hop,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,86,4,0.0012699999999999999,0.9640000000000001,154024,0.48700000000000004,6.57e-06,A#,0.115,-6.071000000000001,Minor,0.42100000000000004,127.05,4/4,0.107
66629,Hip-Hop,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,90,4,0.0302,0.703,198903,0.723,2.06e-06,A,0.126,-5.45,Minor,0.0412,104.969,4/4,0.28800000000000003
66630,Hip-Hop,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,84,4,0.302,0.696,292987,0.521,0.0,A#,0.0565,-8.465,Minor,0.332,100.0,4/4,0.45799999999999996
66631,Hip-Hop,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,88,4,0.0589,0.835,217925,0.626,5.9999999999999995e-05,C#,0.396,-5.832999999999999,Major,0.125,91.03,4/4,0.35
