,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
92824,Indie,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,97,4,0.297,0.752,201661,0.488,9.11e-06,F#,0.0936,-7.05,Major,0.0705,136.041,4/4,0.5329999999999999
92825,Indie,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,87,4,0.0116,0.46399999999999997,239507,0.852,0.0,B,0.10800000000000001,-3.804,Major,0.067,160.075,4/4,0.233
92826,Indie,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,80,4,0.00847,0.56,218013,0.9359999999999999,0.0,D#,0.161,-5.835,Major,0.0439,112.96,4/4,0.371
92827,Indie,The Killers,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,80,4,0.00108,0.33,222587,0.9359999999999999,0.0,C#,0.0926,-3.66,Major,0.0917,148.112,4/4,0.23399999999999999
92828,Indie,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,78,4,0.968,0.441,208227,0.379,0.262,D,0.639,-9.545,Major,0.0449,174.118,3/4,0.105
92829,Indie,Rex Orange County,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,80,4,0.217,0.7559999999999999,155720,0.609,0.00474,D#,0.096,-7.9270000000000005,Major,0.0544,117.023,4/4,0.537
92830,Indie,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,81,4,0.0604,0.675,181279,0.7509999999999999,0.0,C,0.0893,-3.5389999999999997,Major,0.0296,118.384,4/4,0.612
92831,Indie,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,80,4,0.6459999999999999,0.384,252231,0.765,0.00352,F#,0.522,-4.463,Major,0.0579,129.903,4/4,0.5670000000000001
92832,Indie,Bryce Vine,Drew Barrymore,0OgGn1ofaj55l2PcihQQGV,78,4,0.493,0.763,190472,0.5720000000000001,0.00118,B,0.106,-7.312,Minor,0.0595,151.93,4/4,0.25
92833,Indie,Dermot Kennedy,Power Over Me,0OGNtqKkjI7FCE9HZ4Khgo,84,4,0.0519,0.42,206960,0.843,0.0,A,0.106,-4.231,Minor,0.121,173.827,3/4,0.491
92834,Indie,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,79,4,0.395,0.575,262231,0.7140000000000001,0.0,F#,0.115,-5.247000000000001,Major,0.0596,144.982,4/4,0.32
92835,Indie,James Blake,Mile High (feat. Travis Scott & Metro Boomin),4cQrSREMqBSvJ8ZzBZjVb8,79,4,0.40299999999999997,0.754,193600,0.37,6.22e-05,F#,0.107,-9.854,Minor,0.12,114.941,4/4,0.228
