,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
145429,Jazz,Kelsea Ballerini,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2,74,3,0.013999999999999999,0.643,192840,0.72,0.0,D,0.0834,-7.146,Major,0.0527,96.02799999999999,4/4,0.491
145430,Jazz,"Earth, Wind & Fire",September,5nNmj1cLH3r4aA4XDJ2bgY,79,4,0.114,0.6970000000000001,214827,0.809,0.000521,A,0.183,-8.197000000000001,Major,0.0302,125.941,4/4,0.98
145431,Jazz,Leslie Odom Jr.,Alexander Hamilton,4TTV7EcfroSLWzXRY6gLv6,72,3,0.524,0.609,236738,0.435,0.0,B,0.11800000000000001,-7.862,Minor,0.284,131.998,4/4,0.563
145432,Jazz,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,74,3,0.7070000000000001,0.171,182400,0.33,0.00381,F,0.302,-9.699,Major,0.0329,174.43099999999998,3/4,0.315
145433,Jazz,Leslie Odom Jr.,Wait for It,7EqpEBPOohgk7NnKvBGFWo,69,3,0.125,0.561,193750,0.474,5.07e-06,F#,0.0922,-9.638,Major,0.155,86.897,4/4,0.513
145434,Jazz,McCoy Tyner,When Sunny Gets Blue,1J9iVCaEriyoMXpj2XszhU,67,3,0.846,0.569,282320,0.11699999999999999,0.852,F,0.0978,-22.741,Major,0.0446,60.483000000000004,4/4,0.10099999999999999
145435,Jazz,Louis Armstrong,What A Wonderful World - Single Version,29U7stRjqHU6rMiS8BfaI9,66,3,0.7290000000000001,0.271,139227,0.165,1.6e-06,F,0.11800000000000001,-20.651999999999997,Major,0.0351,77.082,4/4,0.203
145436,Jazz,Duke Ellington,In A Sentimental Mood,0E8q2Fx2XuzXCO2NSAppkR,68,3,0.9359999999999999,0.46399999999999997,255227,0.305,0.0846,D#,0.20800000000000002,-12.435,Minor,0.0316,108.23100000000001,4/4,0.282
145437,Jazz,Leslie Odom Jr.,Dear Theodosia,2sEq2rC3ynYsT49x7utWnd,67,3,0.9059999999999999,0.601,184004,0.222,4.11e-05,A,0.0723,-10.485,Major,0.0303,106.75399999999999,4/4,0.271
145438,Jazz,Miles Davis,Blue in Green,0aWMVrwxPNYkKmFthzmpRi,68,3,0.81,0.42100000000000004,337733,0.0161,0.0021,D,0.0978,-25.358,Minor,0.0374,110.926,4/4,0.16
145439,Jazz,Kelsea Ballerini,Peter Pan,2wqXQjOmQ9KoBm9Ssgt4Fo,66,3,0.0284,0.514,200040,0.659,0.0,C#,0.266,-6.142,Major,0.0309,76.483,4/4,0.46299999999999997
145440,Jazz,Nina Simone,Feeling Good,1VKsbTJ78G5bnfyoPz46LA,74,3,0.8540000000000001,0.318,174000,0.33399999999999996,0.0,G,0.188,-9.267000000000001,Minor,0.0487,78.508,4/4,0.541
145441,Jazz,Norah Jones,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,75,3,0.883,0.732,186147,0.198,1.1e-05,F,0.0659,-11.775,Major,0.027999999999999997,88.17399999999999,4/4,0.618
145442,Jazz,Kelsea Ballerini,Yeah Boy,2WaOQWSv0D1tZNxyLvnGAI,66,3,0.231,0.589,194413,0.809,0.0,D#,0.0719,-5.292000000000001,Major,0.0376,88.965,4/4,0.496
145443,Jazz,Caravan Palace,Lone Digger,0thLhIqWsqqycEqFONOyhu,61,3,0.596,0.769,229805,0.924,0.0156,F,0.114,-5.263,Minor,0.051,123.98899999999999,4/4,0.88
145444,Jazz,Norah Jones,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY,73,3,0.904,0.363,198147,0.129,1.52e-06,C,0.157,-14.304,Major,0.0322,80.367,3/4,0.147
145445,Jazz,Louis Armstrong,La vie en rose - Single Version,1UH4viviUjZnS9aWgPGrk0,69,3,0.866,0.507,204400,0.0779,0.00275,C,0.10800000000000001,-12.099,Major,0.0544,70.808,4/4,0.326
145446,Jazz,Duke Ellington,My Little Brown Book,4rmCI9VWrwrJTJ8XQ80BMN,65,3,0.9420000000000001,0.37200000000000005,319733,0.187,0.139,C,0.161,-13.497,Minor,0.0323,70.334,4/4,0.217
145447,Jazz,Bill Evans,Gary's Theme - 2003 Remastered Version,4G3EKvGtqcUSZqPQIWJFxd,66,3,0.905,0.42,257693,0.0802,0.857,G,0.135,-21.795,Major,0.04,122.041,3/4,0.0541
145448,Jazz,Kelsea Ballerini,I Hate Love Songs,0Sbeihd75SGitymHS8Bqbh,64,3,0.252,0.386,191187,0.446,0.0,B,0.18,-7.807,Major,0.0297,179.995,3/4,0.4
145449,Jazz,Chet Baker,Polka Dots And Moonbeams,5FXIXX9FniNJfHd9DJrOop,65,3,0.9890000000000001,0.47600000000000003,588760,0.19,0.733,D,0.588,-17.266,Minor,0.0432,109.795,4/4,0.249
145450,Jazz,Oscar Peterson Trio,I Got It Bad And That Ain't Good,2kpaRWsZTE96rmw0NBfP0c,65,3,0.972,0.515,306173,0.0551,0.915,D,0.0878,-27.383000000000003,Minor,0.0477,50.658,4/4,0.17600000000000002
145451,Jazz,Fred Hersch Trio,Infant Eyes,6J8Z1UJG7uTS1mhZsgmJCp,66,3,0.898,0.429,457268,0.11800000000000001,0.569,A#,0.298,-19.942,Minor,0.039,112.86399999999999,3/4,0.172
145452,Jazz,Bill Evans,Skating In Central Park,1cpANF6zMBoFoxkoIjZHjv,65,3,0.993,0.478,324200,0.0294,0.948,C,0.105,-25.319000000000003,Major,0.0453,124.307,3/4,0.14800000000000002
145453,Jazz,Charles Mingus,Goodbye Pork Pie Hat,3PJMsxg6rz9FOo6xNiASXz,64,3,0.9570000000000001,0.35600000000000004,342373,0.0937,0.096,G#,0.209,-16.64,Minor,0.0353,86.669,3/4,0.278
145454,Jazz,"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,64,3,0.5760000000000001,0.8029999999999999,237106,0.488,0.0609,C#,0.0763,-9.302999999999999,Major,0.0803,95.771,4/4,0.624
145455,Jazz,Kelsea Ballerini,Legends,6vlxmQGwmlyp07YjkugV6K,62,3,0.0547,0.5770000000000001,244467,0.727,0.0,E,0.0891,-5.848,Major,0.0319,112.041,4/4,0.24
145456,Jazz,Eddie Henderson,After You've Gone,1z2FcRqCR6byfXDSvHq8E4,63,3,0.986,0.382,424243,0.158,0.823,A#,0.127,-12.962,Major,0.0466,46.95,4/4,0.314
145457,Jazz,Chet Baker,I Fall In Love Too Easily - Vocal Version,0F845nujLVqCb0XMZCh5Pc,65,3,0.94,0.532,201440,0.0657,0.00488,C,0.0946,-19.136,Minor,0.0406,128.607,4/4,0.292
145458,Jazz,Souls Of Mischief,93 'Til Infinity,0PV1TFUMTBrDETzW6KQulB,69,3,0.125,0.59,286440,0.672,1.04e-06,C#,0.147,-11.792,Major,0.41200000000000003,206.247,4/4,0.688
145459,Jazz,Caravan Palace,Miracle,706LIOTPrPaOQmLZgtm0AI,58,3,0.607,0.708,216224,0.8809999999999999,0.000364,G,0.12,-5.4110000000000005,Major,0.0655,99.988,4/4,0.527
145460,Jazz,Stan Getz,A Nightingale Sang In Berkeley Square,1xaTXPoDk4VOU9XhYX4KJM,64,3,0.955,0.42700000000000005,419627,0.0467,0.0166,C#,0.134,-24.557,Major,0.0395,93.82799999999999,4/4,0.247
145461,Jazz,Aretha Franklin,I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,76,4,0.48,0.59,216773,0.355,0.0,A,0.0585,-14.050999999999998,Major,0.0352,133.03,4/4,0.499
