,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Movie,Henri Salvador,C'est beau de faire un Show,0BRjO6ga9RKCKjfDqeFgWV,0,1,0.611,0.389,99373,0.91,0.0,C#,0.34600000000000003,-1.828,Major,0.0525,166.96900000000002,4/4,0.8140000000000001
1,Movie,Martin & les fées,Perdu d'avance (par Gad Elmaleh),0BjC1NfoEOOusryehmNudP,1,1,0.24600000000000002,0.59,137373,0.737,0.0,F#,0.151,-5.559,Minor,0.0868,174.003,4/4,0.816
2,Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,0CoSDzoNIKCRs124s9uTVy,3,1,0.9520000000000001,0.6629999999999999,170267,0.131,0.0,C,0.10300000000000001,-13.879000000000001,Minor,0.0362,99.488,5/4,0.368
3,Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0Gc6TVm52BwZD07Ki6tIvf,0,1,0.703,0.24,152427,0.326,0.0,C#,0.0985,-12.177999999999999,Major,0.0395,171.75799999999998,4/4,0.22699999999999998
4,Movie,Fabien Nataf,Ouverture,0IuslXpMROHdEPvSl1fTQK,4,1,0.95,0.331,82625,0.225,0.12300000000000001,F,0.20199999999999999,-21.15,Major,0.0456,140.576,4/4,0.39
5,Movie,Henri Salvador,Le petit souper aux chandelles,0Mf1jKa8eNAf1a4PwTbizj,0,1,0.7490000000000001,0.578,160627,0.0948,0.0,C#,0.107,-14.97,Major,0.14300000000000002,87.479,4/4,0.358
6,Movie,Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)",0NUiKYRd6jt1LKMYGkUdnZ,2,1,0.344,0.703,212293,0.27,0.0,C#,0.105,-12.675,Major,0.953,82.87299999999999,4/4,0.5329999999999999
7,Movie,Laura Mayne,Let Me Let Go,0PbIF9YVD505GutwotpB5C,15,1,0.9390000000000001,0.41600000000000004,240067,0.26899999999999996,0.0,F#,0.113,-8.949,Major,0.0286,96.82700000000001,4/4,0.27399999999999997
8,Movie,Chorus,Helka,0ST6uPfvaPpJLtQwhE6KfC,0,1,0.0010400000000000001,0.7340000000000001,226200,0.48100000000000004,0.00086,C,0.0765,-7.725,Major,0.046,125.08,4/4,0.765
9,Movie,Le Club des Juniors,Les bisous des bisounours,0VSqZ3KStsjcfERGdcWpFO,10,1,0.319,0.598,152694,0.705,0.00125,G,0.349,-7.79,Major,0.0281,137.496,4/4,0.718
10,Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0XKgegoxLcIihK3Klpfo3N,0,1,0.9209999999999999,0.191,566960,0.145,0.529,E,0.141,-17.239,Minor,0.0393,85.225,4/4,0.0849
11,Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,0hprxsuRM5vVCOfaM7l3gQ,2,1,0.0383,0.23,121333,0.133,0.887,C,0.0872,-19.051,Major,0.0302,91.73899999999999,4/4,0.11800000000000001
12,Movie,Idoles De La Musique,J'ai demandé à la lune,0jF6HUm18fg6QQCLHhfhC0,4,1,0.215,0.68,213589,0.6,0.0729,F#,0.111,-7.702000000000001,Minor,0.0258,110.02600000000001,4/4,0.433
13,Movie,Chorus,Mangala Aarti,0jIY0oRAp1T4mezDyEhOad,3,1,0.958,0.758,308627,0.264,0.0,D#,0.0543,-11.966,Major,0.0496,110.068,3/4,0.742
14,Movie,Richard M. Sherman,Keys of Love,0pXwl2CRP5awxHsF9eET3L,0,1,0.97,0.4,159253,0.174,0.9329999999999999,G,0.13,-13.869000000000002,Major,0.0458,115.022,4/4,0.27
15,Movie,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 6,0uWUjxM7oDPKpb3T2y3oZm,0,1,0.5479999999999999,0.588,2447870,0.405,0.0,G#,0.754,-15.55,Major,0.938,83.56,3/4,0.48
16,Movie,Jean Claude Corbel,Diane,0vS7Zid3q0dMyX8uMnlQ8s,0,1,0.7,0.625,523424,0.237,0.0,D,0.319,-16.655,Major,0.561,108.508,3/4,0.298
17,Movie,Bernard Minet,Ultra Man 80,0x8xSaoSfQkOYUnG1nbga0,3,1,0.488,0.7440000000000001,178107,0.953,0.0,E,0.45299999999999996,-4.986000000000001,Major,0.037000000000000005,129.959,4/4,0.9259999999999999
18,Movie,Henri Salvador,Veunise,113pHPsGwyeklEjLhnB3ZT,1,1,0.381,0.451,194360,0.491,0.0,D,0.152,-8.73,Major,0.0548,71.633,3/4,0.516
19,Movie,Amalya,Ladies And Gentlemen,12ZjoNweObu1k9rK4SOSdL,4,1,0.161,0.522,207240,0.748,7.25e-06,C#,0.111,-5.202999999999999,Major,0.0824,184.063,4/4,0.733
