,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
86951,Rap,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,99,4,0.163,0.833,149520,0.539,2.1000000000000002e-06,B,0.10099999999999999,-7.399,Minor,0.17800000000000002,99.947,4/4,0.385
86952,Rap,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,96,4,0.149,0.8370000000000001,213594,0.364,0.0,G#,0.271,-11.713,Major,0.276,123.984,4/4,0.46299999999999997
86953,Rap,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,97,4,0.556,0.76,158040,0.479,0.0,D,0.0703,-5.574,Major,0.0466,89.911,4/4,0.9129999999999999
86954,Rap,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,94,4,0.00513,0.8340000000000001,312820,0.73,0.0,G#,0.124,-3.714,Major,0.222,155.00799999999998,4/4,0.446
86955,Rap,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,95,4,0.259,0.889,180522,0.496,0.0,E,0.252,-6.365,Minor,0.0905,86.00299999999999,4/4,0.544
86956,Rap,Blueface,Thotiana,3oh6SCCeLuXhFpEyepla6G,93,4,0.18,0.9059999999999999,129264,0.382,0.0,A#,0.113,-12.89,Minor,0.26899999999999996,104.025,4/4,0.391
86957,Rap,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,93,4,0.0395,0.8370000000000001,288624,0.636,0.00125,C#,0.342,-7.643,Major,0.086,145.972,4/4,0.27399999999999997
86958,Rap,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,92,4,0.10300000000000001,0.8959999999999999,145543,0.6709999999999999,0.0,C#,0.552,-6.977,Minor,0.289,112.50200000000001,4/4,0.358
86959,Rap,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,89,4,0.00534,0.95,183527,0.59,0.0,G#,0.11,-6.507999999999999,Minor,0.29,130.003,4/4,0.21899999999999997
86960,Rap,Juice WRLD,Robbery,44ShclXTOOnYtt5CnCDeGV,91,4,0.342,0.708,240527,0.691,0.0,D,0.222,-5.178999999999999,Major,0.0442,79.99,4/4,0.535
86961,Rap,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,93,4,0.0521,0.861,228760,0.603,0.0,G#,0.0924,-5.787999999999999,Minor,0.17600000000000002,98.04299999999999,4/4,0.504
86962,Rap,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,91,4,0.0153,0.581,189487,0.662,0.0,A,0.111,-5.239,Major,0.303,93.023,4/4,0.434
86963,Rap,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,92,4,0.349,0.511,239836,0.5660000000000001,0.0,F#,0.34,-7.23,Minor,0.2,83.90299999999999,4/4,0.218
86964,Rap,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,89,4,0.18600000000000003,0.736,169999,0.67,0.0,A#,0.114,-6.702000000000001,Major,0.311,130.032,4/4,0.845
86965,Rap,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,93,4,0.354,0.68,231267,0.563,0.0,A#,0.136,-5.843,Major,0.0454,145.028,4/4,0.374
