,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
135,R&B,Mary J. Blige,Be Without You - Kendu Mix,2YegxR5As7BeQuVp2U6pek,65,3,0.083,0.7240000000000001,246333,0.6890000000000001,0.0,D,0.304,-5.922000000000001,Minor,0.135,146.496,4/4,0.693
136,R&B,Rihanna,Desperado,6KFaHC9G178beAp7P0Vi5S,63,3,0.32299999999999995,0.685,186467,0.61,0.0,C,0.102,-5.221,Minor,0.0439,94.384,3/4,0.32299999999999995
137,R&B,Yung Bleu,Ice On My Baby (feat. Kevin Gates) - Remix,6muW8cSjJ3rusKJ0vH5olw,62,3,0.0675,0.762,199520,0.52,3.95e-06,F,0.114,-5.237,Minor,0.0959,75.047,4/4,0.0862
138,R&B,Surfaces,Heaven Falls / Fall on Me,7yHqOZfsXYlicyoMt62yC6,61,3,0.36,0.563,240597,0.366,0.00243,B,0.0955,-6.896,Minor,0.121,85.352,4/4,0.768
139,R&B,Olivia O'Brien,Love Myself,4XzgjxGKqULifVf7mnDIQK,68,3,0.596,0.653,213947,0.621,0.0,B,0.0811,-5.721,Minor,0.0409,100.006,4/4,0.466
140,R&B,ELHAE,Needs,7KdRu0h7PQ0Ecfa37rUBzW,61,3,0.6609999999999999,0.51,205640,0.331,0.0,B,0.12300000000000001,-13.073,Minor,0.0895,124.65700000000001,4/4,0.225
141,R&B,Nao,Make It Out Alive (feat. SiR),21Ft8ME799DMZjxNwmui6Z,64,3,0.667,0.67,239147,0.649,0.00013000000000000002,C,0.109,-7.426,Minor,0.0875,147.935,4/4,0.618
142,R&B,Frank Ocean,Seigfried,1BViPjTT585XAhkUUrkts0,66,3,0.975,0.377,334570,0.255,0.00020800000000000001,E,0.102,-11.165,Minor,0.0387,125.00399999999999,5/4,0.37
143,R&B,Layton Greene,Roll In Peace,33YFwLJbAdgePluIuEVa9p,60,3,0.72,0.523,170343,0.507,0.0,G,0.0774,-6.4479999999999995,Minor,0.225,140.368,4/4,0.7
144,R&B,Usher,You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,69,3,0.0359,0.7609999999999999,219120,0.639,0.0,F,0.0945,-7.577000000000001,Minor,0.0539,164.088,4/4,0.922
145,R&B,Mariah Carey,Hero,4FCb4CUbFCMNRkI6lYc1zI,71,3,0.735,0.501,257733,0.37799999999999995,0.0,E,0.11900000000000001,-9.37,Major,0.028999999999999998,119.98700000000001,4/4,0.17800000000000002
146,R&B,Beyoncé,Flawless Remix,0zVMzJ37VQNFUNvdxxat2E,69,3,0.24100000000000002,0.639,234413,0.659,8.33e-06,G#,0.484,-7.273,Major,0.215,136.80100000000002,4/4,0.457
147,R&B,Jason Derulo,Tip Toe (feat. French Montana),2z4pcBLQXF2BXKFvd0BuB6,76,4,0.0233,0.845,187521,0.7090000000000001,0.0,A#,0.094,-4.547,Minor,0.0714,98.06200000000001,4/4,0.62
148,R&B,TWENTY88,On The Way,2TAf6ITyhwc9Z3MYb4tSYl,61,3,0.0808,0.584,203227,0.687,0.0,C#,0.2,-7.176,Minor,0.321,129.90200000000002,4/4,0.324
149,R&B,Big Sean,I Know,6rje9f1wRFJDO2iTORw0lH,66,3,0.28800000000000003,0.741,319973,0.345,0.0,C#,0.11699999999999999,-11.31,Major,0.0754,120.015,4/4,0.27699999999999997
150,R&B,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",7GQqj9jRtDkMp8zByehXQI,65,3,0.0174,0.7509999999999999,264847,0.7659999999999999,8.07e-06,F,0.6579999999999999,-3.594,Major,0.0515,109.897,4/4,0.6729999999999999
151,R&B,Tierra Whack,CLONES,6zlBoRMKQv2UyrafMVoQlq,61,3,0.184,0.7909999999999999,171392,0.494,0.0182,A,0.48200000000000004,-8.705,Major,0.34700000000000003,146.003,4/4,0.6
152,R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,4o7WXic8yAQWOV7iJXZ4jD,62,3,0.45799999999999996,0.703,158947,0.586,0.0,B,0.154,-4.587,Minor,0.212,149.736,4/4,0.264
