,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
122397,Reggae,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,73,3,0.0268,0.682,182747,0.765,3.4200000000000005e-05,C#,0.188,-5.021,Minor,0.0395,90.807,4/4,0.5670000000000001
122398,Reggae,Bob Marley & The Wailers,Three Little Birds,1P49MJhU5vzttesFxw3dOM,78,4,0.0102,0.807,180267,0.48700000000000004,1.98e-06,A,0.0501,-10.456,Major,0.0758,148.491,4/4,0.6509999999999999
122399,Reggae,UB40,Red Red Wine,4uOKFydzAejjSFqYbv1XPt,76,4,0.00414,0.857,183113,0.46799999999999997,1.32e-05,C#,0.26899999999999996,-8.53,Major,0.0476,89.119,4/4,0.843
122400,Reggae,Shaggy,It Wasn't Me,0OaunKfsxkgBvPv68jBbmm,72,3,0.0503,0.852,227547,0.604,0.0,C,0.327,-4.569,Major,0.0642,94.762,4/4,0.667
122401,Reggae,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,77,4,0.363,0.9229999999999999,237000,0.728,0.000169,C,0.0941,-8.517999999999999,Major,0.10099999999999999,103.29899999999999,4/4,0.7509999999999999
122402,Reggae,Sublime,What I Got,3B4q6KbHbGV51HO3GznBFF,70,3,0.00877,0.804,170907,0.696,0.000985,G,0.314,-7.47,Major,0.0899,95.721,4/4,0.657
122403,Reggae,Bob Marley & The Wailers,One Love / People Get Ready,2iSXgduBpKrwJuQcuybkxP,75,3,0.0912,0.7190000000000001,172933,0.515,0.0,A#,0.0791,-9.72,Major,0.348,76.518,4/4,0.927
122404,Reggae,Bob Marley & The Wailers,Waiting In Vain,2jvoqPDIsm5rHRLgxstX15,73,3,0.0292,0.83,256240,0.46299999999999997,1.58e-05,G#,0.0589,-11.644,Major,0.335,78.876,4/4,0.779
122405,Reggae,Dirty Heads,Vacation,7cdy4PbCdDZZNjyxoZyE0c,67,3,0.0431,0.7390000000000001,209142,0.754,0.0,G#,0.0999,-5.034,Major,0.035,150.017,4/4,0.7929999999999999
122406,Reggae,Bob Marley & The Wailers,Buffalo Soldier,7BfW1eoDh27W69nxsmRicb,74,3,0.14300000000000002,0.932,257440,0.469,4.43e-06,A,0.0586,-8.66,Major,0.29,124.115,4/4,0.747
122407,Reggae,MAGIC!,Rude,6RtPijgfPKROxEzTHNRiDp,77,4,0.0423,0.774,224840,0.7559999999999999,0.0,C#,0.305,-4.995,Major,0.0389,144.032,4/4,0.9309999999999999
122408,Reggae,Slightly Stoopid,Closer to the Sun,1UL8GkVAs6UcWF6BZ3DYZt,64,3,0.203,0.5720000000000001,145560,0.728,0.00263,G,0.231,-5.534,Major,0.0275,75.179,4/4,0.535
122409,Reggae,Shaggy,Angel,7xHsIaGEmiZunovi6oFtQz,65,3,0.14300000000000002,0.802,235133,0.77,0.0,F#,0.0424,-2.998,Major,0.0925,85.286,4/4,0.778
122410,Reggae,Dirty Heads,Oxygen,3YbtjYddK11NTDdUpC4nGp,61,3,0.0744,0.68,225395,0.878,0.0,G#,0.13699999999999998,-3.923,Minor,0.0554,169.987,4/4,0.769
122411,Reggae,311,Amber,51UtgWS4z1eMPuLQOzPtNH,67,3,0.11900000000000001,0.659,211080,0.727,0.00427,E,0.1,-8.638,Minor,0.0455,166.16299999999998,4/4,0.748
122412,Reggae,Bob Marley & The Wailers,Redemption Song,26PwuMotZqcczKLHi4Htz3,71,3,0.578,0.684,233560,0.248,0.0,C,0.0643,-10.505,Major,0.0435,116.00200000000001,4/4,0.621
122413,Reggae,Bob Marley & The Wailers,Is This Love,3y540Z9QFePg2CyZYWZMyI,68,3,0.11900000000000001,0.775,230800,0.563,0.0,F#,0.155,-8.225,Minor,0.0815,122.26899999999999,4/4,0.7859999999999999
122414,Reggae,Iration,Summer Nights,0QkWubamAKEvvcOTriSKX3,63,3,0.0201,0.835,236093,0.609,1.28e-06,A,0.107,-5.636,Major,0.0336,130.154,4/4,0.7809999999999999
122415,Reggae,Slightly Stoopid,2am,4cs6ORX8aKd6rtVdwAnnel,60,3,0.00594,0.794,299600,0.5770000000000001,0.37,D,0.0708,-8.549,Major,0.111,82.46,4/4,0.645
122416,Reggae,Pepper,Stone Love,1AO26gK1sI6PoFY9eUF8yV,62,3,0.0571,0.8370000000000001,254800,0.478,0.0012900000000000001,F#,0.0569,-5.861000000000001,Minor,0.0627,78.74600000000001,4/4,0.81
122417,Reggae,The Expendables,Bowl For Two,260F1LrhRMiuXOZIaypMZd,62,3,0.0749,0.728,283427,0.5,5.84e-06,E,0.10800000000000001,-6.2139999999999995,Minor,0.0344,138.528,4/4,0.382
122418,Reggae,Tash Sultana,Notion,1HTqgP13dorct3BltLaB0l,62,3,0.391,0.35200000000000004,341000,0.414,0.00831,E,0.185,-6.6,Minor,0.0254,60.042,4/4,0.0688
122419,Reggae,Rebelution,Fade Away,4TyCnstYu6LGrjka5WW6ft,61,3,0.18100000000000002,0.685,209253,0.54,0.015,A,0.114,-9.701,Major,0.0253,109.926,4/4,0.235
122420,Reggae,Dirty Heads,Lay Me Down,4L0nc0tHfDjr3HlAm1EFeu,60,3,0.0487,0.6679999999999999,215147,0.78,0.0,G,0.107,-6.481,Major,0.0901,170.032,4/4,0.7390000000000001
122421,Reggae,Damian Marley,Welcome To Jamrock,22AbXxQbMdVqEz7xJjhccG,67,3,0.0229,0.84,213200,0.6579999999999999,0.0,G,0.342,-6.496,Minor,0.33299999999999996,76.638,4/4,0.732
122422,Reggae,Bob Marley & The Wailers,"No Woman, No Cry - Live At The Lyceum, London/1975",423hwXFgoN8RYmqLoLuVvY,71,3,0.261,0.655,427800,0.657,0.0204,C#,0.737,-9.325,Major,0.067,78.223,4/4,0.593
122423,Reggae,Sublime,Wrong Way,2PdIo7ewQPuAsP99LVg9uy,64,3,0.0623,0.69,136147,0.6809999999999999,0.0,A,0.13699999999999998,-5.653,Major,0.0379,75.03399999999999,4/4,0.9109999999999999
122424,Reggae,Rebelution,Feeling Alright,2EDRUNdur7CGV2W2mwIRoS,62,3,0.0387,0.836,266400,0.584,0.0,G,0.102,-8.219,Major,0.0793,134.204,4/4,0.68
122425,Reggae,Sister Nancy,Bam Bam,7cKLOenzViwzoHJWciMIrj,65,3,0.825,0.722,196507,0.605,0.0178,F,0.248,-6.07,Major,0.153,165.998,4/4,0.7090000000000001
122426,Reggae,Bob Marley & The Wailers,Jamming,4N8UFEJSemqrX1JqFSXln1,70,3,0.14800000000000002,0.941,211000,0.473,2.65e-05,B,0.11199999999999999,-10.975999999999999,Minor,0.27399999999999997,123.67299999999999,4/4,0.765
122427,Reggae,Slightly Stoopid,Collie Man,3Zjdqz7eOox8XU0zTCPL4P,62,3,0.183,0.61,133080,0.706,0.000587,C,0.218,-7.084,Major,0.0483,170.08700000000002,3/4,0.344
122428,Reggae,Sublime,Caress Me Down,2JKlf0IYz5oWsT3OCLyjpO,62,3,0.0149,0.753,211560,0.484,0.0,A,0.135,-7.519,Major,0.258,79.668,4/4,0.597
122429,Reggae,Rebelution,Count Me In,0BweE3lWBMXRPWWLtLV5z8,61,3,0.0204,0.8,189613,0.6609999999999999,0.00010700000000000001,G,0.0687,-8.291,Major,0.0304,92.015,4/4,0.59
122430,Reggae,Tash Sultana,Jungle,3SkKLZFgKIY0DKX5Vro5jV,62,3,0.26899999999999996,0.59,315599,0.6970000000000001,9.86e-05,C#,0.0881,-5.877000000000001,Minor,0.0291,146.059,4/4,0.49700000000000005
122431,Reggae,Matisyahu,One Day,0nCZDQrlWA149QdGTdlsFU,59,3,0.198,0.34600000000000003,207573,0.61,0.0,C,0.11699999999999999,-5.818,Major,0.15,68.55199999999999,4/4,0.235
122432,Reggae,Iration,Time Bomb,0KtKac3tvjeGjg6FXcUy7X,60,3,0.192,0.754,190693,0.59,0.0,E,0.11,-6.525,Minor,0.046,147.107,4/4,0.784
122433,Reggae,Ini Kamoze,Here Comes the Hotstepper - Heartical Mix,3QRM0qZB7oMYavveH0iEqx,67,3,0.0141,0.889,250467,0.45399999999999996,0.00018600000000000002,E,0.203,-8.597999999999999,Minor,0.221,100.36,4/4,0.436
122434,Reggae,Sublime,Badfish,4KnpSJBbcpJBAjEaaJBcL8,61,3,0.0912,0.8029999999999999,187213,0.42700000000000005,0.0016699999999999998,B,0.38799999999999996,-7.36,Minor,0.0538,92.042,4/4,0.505
122435,Reggae,Rebelution,Lazy Afternoon,5JmJVj3qLsCnBsQ8IC9XLf,59,3,0.0112,0.775,210347,0.6779999999999999,0.0105,G,0.125,-6.915,Major,0.0351,147.847,4/4,0.93
122436,Reggae,Dirty Heads,Listen To Me,6kCqR0FkkD668JMTXBAGw7,58,3,0.0058,0.7609999999999999,233106,0.61,0.0,C,0.0717,-6.651,Major,0.0467,109.999,4/4,0.244
122437,Reggae,Michael Franti & Spearhead,Say Hey (I Love You) - feat. シェリーン・アンダーソン,0nnxf8p851ZR49KFnGWVsB,60,3,0.0368,0.743,235760,0.981,1.17e-06,F,0.17800000000000002,-4.3469999999999995,Minor,0.0899,93.00299999999999,4/4,0.95
