,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
138915,Reggaeton,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,95,4,0.0141,0.8170000000000001,210368,0.539,0.000496,F#,0.099,-6.349,Minor,0.0621,97.06200000000001,4/4,0.158
138916,Reggaeton,Anuel Aa,Secreto,5W83ErFkO3aKAIS1WMi6u0,96,4,0.602,0.807,258800,0.8029999999999999,0.00853,B,0.136,-4.156000000000001,Major,0.126,91.98700000000001,4/4,0.706
138917,Reggaeton,Ozuna,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,95,4,0.0361,0.816,158400,0.754,0.0,B,0.217,-2.75,Minor,0.111,99.96600000000001,4/4,0.5329999999999999
138918,Reggaeton,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,98,4,0.11,0.737,193227,0.86,1.94e-06,G#,0.0574,-2.6519999999999997,Minor,0.0593,93.98899999999999,4/4,0.6559999999999999
138919,Reggaeton,Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,90,4,0.556,0.826,236216,0.449,1.85e-05,F,0.273,-8.33,Minor,0.0674,128.028,4/4,0.337
138920,Reggaeton,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,87,4,0.542,0.903,417920,0.675,1.28e-05,B,0.0595,-3.445,Minor,0.214,96.507,4/4,0.442
138921,Reggaeton,Karol G,Culpables,6q8Lb50EtqNeeJXXe8mMAH,87,4,0.27899999999999997,0.728,226627,0.8009999999999999,4.71e-06,G#,0.14300000000000002,-2.9419999999999997,Minor,0.0683,130.059,4/4,0.41600000000000004
138922,Reggaeton,Anuel Aa,Amanece,1LiN0Z98FkR1t0m8KmLcAH,92,4,0.43700000000000006,0.79,190005,0.631,0.0,G#,0.158,-5.5489999999999995,Minor,0.0425,94.039,4/4,0.889
138923,Reggaeton,Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,85,4,0.627,0.6509999999999999,229456,0.575,0.000202,C,0.0961,-7.739,Major,0.299,160.007,4/4,0.248
138924,Reggaeton,Bad Bunny,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,85,4,0.287,0.743,197968,0.73,8.1e-05,A#,0.0778,-4.314,Minor,0.125,179.972,4/4,0.15
138925,Reggaeton,Ozuna,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,88,4,0.315,0.754,176133,0.805,0.0,F#,0.203,-4.249,Major,0.0752,93.98299999999999,4/4,0.555
138926,Reggaeton,Karol G,Créeme,1mT47pKLXUwPYGwB91GcNz,88,4,0.154,0.715,212493,0.872,0.000146,F#,0.11,-3.5010000000000003,Major,0.0547,96.939,4/4,0.682
138927,Reggaeton,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,82,4,0.0327,0.655,300579,0.725,0.00264,C,0.0611,-5.497000000000001,Major,0.188,125.8,4/4,0.326
138928,Reggaeton,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,82,4,0.0626,0.672,169248,0.594,5.14e-05,C#,0.152,-6.813,Minor,0.0789,171.854,4/4,0.158
138929,Reggaeton,Bad Bunny,200 Mph,5jGUJXnELDaDTgiRjD9lsg,81,4,0.0139,0.85,170509,0.5,0.000384,G#,0.0947,-6.707999999999999,Major,0.0665,160.02,4/4,0.816
138930,Reggaeton,J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,89,4,0.0165,0.747,158800,0.74,9.940000000000002e-05,E,0.10099999999999999,-4.325,Minor,0.191,176.05900000000003,4/4,0.552
138931,Reggaeton,Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,91,4,0.29100000000000004,0.7879999999999999,207853,0.7709999999999999,5.6200000000000004e-05,E,0.172,-3.2060000000000004,Minor,0.0563,99.038,4/4,0.701
138932,Reggaeton,Ozuna,Solita,7rwX0O3RlxqqIjQM8evm5E,80,4,0.0564,0.807,311726,0.633,0.0,A#,0.107,-6.016,Minor,0.0929,138.03799999999998,4/4,0.325
138933,Reggaeton,Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,81,4,0.19699999999999998,0.514,233128,0.6459999999999999,2.3e-05,C#,0.0958,-8.833,Major,0.275,88.661,4/4,0.297
138934,Reggaeton,Maluma,HP,31UjYv5vLsDkzchJOtUMtW,84,4,0.252,0.8370000000000001,184436,0.7909999999999999,1.14e-06,E,0.188,-3.157,Minor,0.0773,91.98,4/4,0.618
138935,Reggaeton,Natti Natasha,Criminal,6Za3190Sbw39BBC77WSS1C,82,4,0.03,0.8140000000000001,232550,0.813,9.329999999999999e-05,D,0.255,-3.023,Minor,0.0561,79.997,4/4,0.8390000000000001
138936,Reggaeton,Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,87,4,0.589,0.825,327467,0.69,0.0,A#,0.413,-4.252,Minor,0.226,94.194,4/4,0.516
138937,Reggaeton,Bad Bunny,Estamos Bien,2OWVCFTolecLiGZPquvWvT,81,4,0.821,0.759,208080,0.536,4.57e-06,A,0.107,-6.662999999999999,Minor,0.17300000000000001,119.883,4/4,0.439
138938,Reggaeton,Ozuna,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,85,4,0.254,0.691,200747,0.71,0.0,F,0.10800000000000001,-5.144,Major,0.33399999999999996,192.046,4/4,0.726
138939,Reggaeton,Bad Bunny,Cuando Perriabas,5mj8WVFcKdGA8p9HWGTSLc,80,4,0.13699999999999998,0.787,188654,0.705,1.06e-06,C,0.10800000000000001,-7.582000000000001,Major,0.0695,81.99799999999999,4/4,0.499
138940,Reggaeton,Becky G,Sin Pijama,2ijef6ni2amuunRoKTlgww,86,4,0.354,0.7909999999999999,188560,0.745,2.9299999999999997e-05,B,0.10400000000000001,-3.695,Minor,0.0464,94.014,4/4,0.82
138941,Reggaeton,Maluma,Mala Mía,62o8KoI44JfN7aYxgTnPvh,84,4,0.31,0.7490000000000001,183753,0.752,0.0,F#,0.23199999999999998,-4.883,Major,0.345,180.049,4/4,0.9009999999999999
138942,Reggaeton,Ozuna,La Modelo,2SbzdGpOKlH3HIAGTWTbwU,77,4,0.24100000000000002,0.574,255507,0.7340000000000001,0.00806,C#,0.0961,-2.697,Major,0.0728,98.023,4/4,0.769
138943,Reggaeton,Ozuna,Unica,33b2wX9d0kxqxhi7lcsC1A,79,4,0.212,0.653,218387,0.8590000000000001,0.0,C,0.111,-3.048,Major,0.0449,174.037,4/4,0.705
138944,Reggaeton,Lunay,A Solas - Remix,3T5QSIgoaPIh07SwixRDp7,84,4,0.657,0.618,273198,0.743,5.95e-06,F#,0.14300000000000002,-2.576,Minor,0.141,180.021,4/4,0.589
138945,Reggaeton,Bad Bunny,¿Quien Tu Eres?,6kN06eEOblRAuWI0xUUS91,77,4,0.185,0.727,159229,0.58,3.58e-06,D,0.125,-6.803999999999999,Minor,0.136,137.048,4/4,0.325
138946,Reggaeton,Ozuna,El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,78,4,0.218,0.737,258000,0.742,0.0,F#,0.316,-2.875,Major,0.0441,119.96600000000001,4/4,0.386
138947,Reggaeton,Bad Bunny,Ser Bichote,4UEuIEv9Wc3wtiWUplGJ7q,77,4,0.158,0.785,193211,0.626,4.6e-06,E,0.18100000000000002,-8.03,Minor,0.0675,154.946,4/4,0.183
138948,Reggaeton,Ozuna,Se Preparó,1m69ELEgE6k5ZWsap40ozt,80,4,0.222,0.7390000000000001,188080,0.821,9.6e-06,C#,0.311,-4.2330000000000005,Major,0.0852,171.077,4/4,0.693
138949,Reggaeton,Rauw Alejandro,Que Le De,08aYFNUTIOMGq93e2VSArQ,83,4,0.19,0.77,225600,0.75,0.0,C,0.0618,-2.715,Major,0.0785,99.99700000000001,4/4,0.609
138950,Reggaeton,Bad Bunny,Tenemos Que Hablar,5VQpJ2AY2iMzrRZKgcvNjh,77,4,0.146,0.855,224512,0.512,0.0008539999999999999,B,0.107,-8.165,Major,0.0534,146.075,4/4,0.14400000000000002
138951,Reggaeton,Manuel Turizo,Sola,675w3ACw5xZR3ODhUJlEVN,82,4,0.483,0.7040000000000001,195044,0.706,0.0,B,0.0965,-5.233,Minor,0.111,92.965,4/4,0.856
138952,Reggaeton,Amenazzy,Baby,2IA8cFA46DkjgbsRG7kKbp,86,4,0.327,0.7,235973,0.71,0.0,B,0.129,-4.835,Major,0.0532,167.97099999999998,4/4,0.5820000000000001
138953,Reggaeton,Ozuna,Luz Apaga,5Q3e16qE1RE5oilN3ukasm,83,4,0.19,0.611,245000,0.7909999999999999,3.02e-06,C#,0.12,-3.5580000000000003,Major,0.17300000000000001,192.07,4/4,0.6579999999999999
138954,Reggaeton,Bad Bunny,Como Antes,69ZaPBHhRMRDjRpW1ivnOU,76,4,0.6679999999999999,0.767,230578,0.379,0.000145,C,0.217,-10.347999999999999,Major,0.0385,103.956,4/4,0.252
138955,Reggaeton,Maluma,Felices los 4,1RouRzlg8OKFeqc6LvdxmB,80,4,0.213,0.7659999999999999,230000,0.7559999999999999,0.0,F,0.349,-5.861000000000001,Major,0.132,94.027,4/4,0.716
138956,Reggaeton,Ozuna,Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,80,4,0.165,0.855,226800,0.664,3.97e-05,A,0.0937,-7.11,Minor,0.0607,98.015,4/4,0.626
138957,Reggaeton,Manuel Turizo,Esclavo de Tus Besos,3g4UyIcQwutiG0TfW32GnX,85,4,0.113,0.805,219302,0.6709999999999999,0.0,F,0.278,-5.316,Major,0.111,90.979,4/4,0.522
138958,Reggaeton,Becky G,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,87,4,0.307,0.772,254383,0.732,5.14e-06,A,0.106,-3.713,Minor,0.213,100.04799999999999,4/4,0.295
138959,Reggaeton,Bad Bunny,RLNDT,6pZHZndlo57dPCYnvlYFOE,76,4,0.263,0.6,284853,0.528,0.0,C,0.588,-6.553999999999999,Major,0.0308,108.025,4/4,0.142
138960,Reggaeton,Nicky Jam,X,39N9RPD9MRb5WmoLzNzPeA,84,4,0.0364,0.595,173628,0.773,0.00108,A,0.33399999999999996,-4.736000000000001,Minor,0.0549,180.07299999999998,4/4,0.711
138961,Reggaeton,J Balvin,Mi Gente,4ipnJyDU3Lq15qBAYNqlqK,75,3,0.0179,0.774,189440,0.687,1.17e-05,B,0.128,-4.8180000000000005,Minor,0.0584,104.959,4/4,0.308
138962,Reggaeton,Ozuna,Devuelveme,5uvucCRBTkxv7VxIDLOqe7,82,4,0.5539999999999999,0.7440000000000001,188907,0.769,6.96e-06,B,0.102,-4.112,Major,0.156,176.002,4/4,0.784
138963,Reggaeton,Ozuna,Dile Que Tu Me Quieres,5u5MvmVtitax9R1Mxh3reC,75,3,0.0864,0.773,226520,0.757,3.73e-06,C#,0.0727,-4.959,Major,0.0526,88.006,4/4,0.858
138964,Reggaeton,Bad Bunny,Sensualidad,5hcisvFMidkMJlElTO9Qmw,78,4,0.423,0.807,297485,0.6809999999999999,0.0,B,0.0962,-6.268,Major,0.0983,140.006,4/4,0.6759999999999999
138965,Reggaeton,Maluma,Corazón (feat. Nego do Borel),5cepAtqnEQ6yVG6088zMMu,79,4,0.32799999999999996,0.722,184720,0.738,1.47e-05,A,0.198,-6.0729999999999995,Minor,0.247,198.075,4/4,0.748
138966,Reggaeton,Maluma,Mala Mía - Remix,6sAwJPgaSQ9Q4XGnbx1gZb,82,4,0.1,0.6970000000000001,207143,0.772,0.0,G#,0.418,-5.0280000000000005,Minor,0.309,180.046,4/4,0.858
138967,Reggaeton,Farruko,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,77,4,0.0971,0.805,279276,0.5820000000000001,0.0,D,0.163,-5.657,Minor,0.0627,117.955,4/4,0.307
138968,Reggaeton,Bad Bunny,Soy Peor,5MT96Zz0ymUJNm8obKZQr0,74,3,0.679,0.732,257328,0.605,0.0029,C,0.114,-3.15,Minor,0.086,115.94200000000001,4/4,0.14300000000000002
138969,Reggaeton,Cosculluela,Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,78,4,0.138,0.878,190909,0.555,1.34e-06,C#,0.151,-7.638999999999999,Minor,0.20199999999999999,88.029,4/4,0.7509999999999999
138970,Reggaeton,Ozuna,Cama Vacia,6sR4WtcYJOCXzDsDfY9PwV,81,4,0.132,0.647,201050,0.85,1.15e-06,A,0.0809,-2.185,Minor,0.212,175.797,4/4,0.316
138971,Reggaeton,Wisin & Yandel,Aullando,7BuHdm4lQqcyG3qTwdkxus,84,4,0.184,0.8,226200,0.74,0.0,A#,0.0558,-4.52,Minor,0.0479,90.035,4/4,0.775
138972,Reggaeton,Cauty,Ta To Gucci (Remix),7kuRvjpeUcn6qNV9IBXC2C,86,4,0.38299999999999995,0.73,304859,0.648,0.00011200000000000001,C#,0.10300000000000001,-6.405,Minor,0.37799999999999995,187.99099999999999,4/4,0.675
138973,Reggaeton,Becky G,Mayores,7JNh1cfm0eXjqFVOzKLyau,78,4,0.141,0.743,202453,0.855,0.0045,F,0.099,-3.9760000000000004,Minor,0.0436,96.98899999999999,4/4,0.871
138974,Reggaeton,Nicky Jam,X - Remix,6JjPBQfI2Y8nIjnm65X6Pw,79,4,0.0561,0.6629999999999999,235747,0.696,3.77e-05,A,0.0778,-4.957,Minor,0.10300000000000001,180.113,4/4,0.738
138975,Reggaeton,Dalex,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,84,4,0.753,0.688,360960,0.62,5.27e-06,B,0.158,-8.029,Minor,0.22,170.018,4/4,0.727
138976,Reggaeton,Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,80,4,0.265,0.75,219357,0.665,0.0,G#,0.0515,-3.083,Major,0.124,95.23899999999999,4/4,0.6970000000000001
138977,Reggaeton,J Balvin,No Es Justo,5qFeMRz4TvetPmzjre9Dq7,81,4,0.161,0.684,250840,0.8109999999999999,0.000363,G,0.0871,-4.494,Major,0.0714,87.866,4/4,0.721
138978,Reggaeton,Karol G,Mi Cama - Remix,38QmUDpkoYlNbMKvpvAsrE,77,4,0.299,0.815,196320,0.784,0.0,A,0.0958,-4.423,Major,0.0738,162.958,4/4,0.8320000000000001
138979,Reggaeton,Becky G,Shower,3DmW6y7wTEYHJZlLo1r6XJ,76,4,0.0317,0.6990000000000001,206167,0.529,3.59e-05,D,0.285,-7.547999999999999,Major,0.0487,119.98700000000001,4/4,0.121
138980,Reggaeton,Maluma,El Préstamo,2XVilv6s9GETnw9PG4T9Mz,78,4,0.205,0.74,219600,0.74,0.0,F,0.107,-3.647,Minor,0.0686,93.95,4/4,0.7170000000000001
138981,Reggaeton,Reik,Me Niego,6jA8JUuPCGYjFcgw0AoM5T,82,4,0.0543,0.777,221653,0.779,0.0,C,0.636,-4.449,Minor,0.0972,94.023,4/4,0.768
138982,Reggaeton,Reik,Amigos Con Derechos,2zDj4WjbNDmrRL6Z4YjjCA,86,4,0.0481,0.6859999999999999,227476,0.807,0.0,C#,0.0652,-3.324,Major,0.0613,183.97099999999998,4/4,0.63
138983,Reggaeton,Ozuna,El Farsante,5EId1m4DNwTf3at31w8bPJ,74,3,0.2,0.735,233827,0.703,0.0,F#,0.259,-4.249,Major,0.0611,120.007,4/4,0.32299999999999995
138984,Reggaeton,Ozuna,Me Dijeron,17UUYZ290omPaJY4wKeyHh,77,4,0.0273,0.8,170133,0.841,0.0,F,0.29100000000000004,-2.8169999999999997,Minor,0.0524,94.021,4/4,0.7979999999999999
138985,Reggaeton,Ozuna,Tú Foto,5zSOVwaY3sVjnmLhuEfsuf,74,3,0.16399999999999998,0.748,193227,0.565,0.0016899999999999999,G,0.10300000000000001,-5.895,Major,0.0476,175.92,4/4,0.812
138986,Reggaeton,Daddy Yankee,Dura,6KuqAtoeVzxAYOaMveLNpH,81,4,0.183,0.7909999999999999,200480,0.848,0.0,C#,0.409,-3.4560000000000004,Major,0.0506,95.0,4/4,0.828
