,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
152988,Rock,Queen,We Are The Champions,4kzvAGJirpZ9ethvKZdJtg,50,2,0.23,0.46,180667,0.48200000000000004,0.0,A#,0.10099999999999999,-7.412999999999999,Major,0.0285,94.975,3/4,0.20199999999999999
152989,Rock,Death Cab for Cutie,Black Sun,59FC22eN2Syt9bbv2d6393,55,3,0.17,0.608,289160,0.642,0.0667,D,0.166,-7.978,Major,0.0251,87.70299999999999,4/4,0.608
152990,Rock,Demon Hunter,On My Side,3zlqFHiuLAUra9MsJ85l4v,59,3,4.68e-06,0.48,244387,0.953,0.0667,C#,0.0805,-5.061,Minor,0.0889,95.016,4/4,0.268
152991,Rock,Carole King,Bitter With The Sweet,6bMrfP9V5s5fgL3Z02tcES,64,3,0.807,0.691,148040,0.43,0.000508,G#,0.115,-13.252,Major,0.0576,99.03200000000001,4/4,0.69
152992,Rock,Tenth Avenue North,Worn,6jAAYLKxXPyeEoddXu6Gf7,54,3,0.384,0.51,244120,0.42,0.0,F#,0.102,-8.014,Major,0.0312,125.898,4/4,0.19
152993,Rock,Sublime With Rome,House Party,4dklLLlnPhtAznKMYGnmBc,51,3,0.0168,0.6970000000000001,211427,0.799,0.0075,D,0.215,-6.087999999999999,Major,0.040999999999999995,75.001,4/4,0.535
152994,Rock,Elton John,"Bennie And The Jets - Recorded At The Colosseum, Caesars Palace, Las Vegas",144y07SeEatHOBswM3BZHk,58,3,0.244,0.52,361547,0.57,0.0007070000000000001,C,0.3,-6.606,Major,0.0377,133.047,4/4,0.593
152995,Rock,Iration,Already Gold,5GrXshz0UGM1qP74PKHKOC,52,3,0.0471,0.728,261080,0.696,1.8100000000000003e-05,G,0.0233,-6.084,Major,0.0632,78.002,4/4,0.674
152996,Rock,Fall Out Boy,The Mighty Fall,49nmsafpkJp2lDj9b4jkxh,53,3,0.0612,0.511,212467,0.95,0.0,E,0.203,-3.833,Minor,0.184,151.94299999999998,4/4,0.539
152997,Rock,Foreign Air,Wake Me Up,0ionYKqaYZPg9FSwPlqqmr,56,3,0.0103,0.22899999999999998,222760,0.915,0.47100000000000003,A#,0.10400000000000001,-4.939,Minor,0.0762,177.989,3/4,0.305
152998,Rock,Diamond Rio,One More Day,5mcWdITson4DJcYtH5xo0f,55,3,0.639,0.667,216040,0.349,0.0,E,0.12300000000000001,-9.844,Major,0.0288,131.11700000000002,4/4,0.244
152999,Rock,Carole King,(You Make Me Feel Like) A Natural Woman,0LXljhKMUgoLv8tLwZ1hmf,63,3,0.953,0.624,229067,0.158,0.00135,A,0.11199999999999999,-13.059000000000001,Major,0.0289,85.492,3/4,0.303
153000,Rock,Muse,Dead Inside,2daZovie6pc2ZK7StayD1K,61,3,0.000259,0.65,262947,0.758,0.000492,G#,0.276,-5.021,Major,0.0507,100.005,4/4,0.603
153001,Rock,Van Halen,(Oh) Pretty Woman - 2015 Remaster,7ptv3yXdBWwzO7rVA62rwy,55,3,0.192,0.441,172671,0.97,1.68e-06,C#,0.312,-2.1,Minor,0.0708,128.289,4/4,0.5
153002,Rock,Mitchell Tenpenny,I Get the Picture,0zjBoMgP3yNEiafa0fguIg,54,3,0.00938,0.619,212343,0.848,0.0,F,0.102,-4.833,Minor,0.0379,91.01799999999999,4/4,0.532
153003,Rock,Spoon,Hot Thoughts,70x1x9NbSJJXkrgvIyyAVX,57,3,0.0484,0.679,228653,0.902,0.155,G#,0.645,-3.627,Major,0.0303,108.995,4/4,0.493
153004,Rock,Guns N' Roses,Rocket Queen,5j6WdDC183izbbjedKsSAe,53,3,0.0303,0.46299999999999997,375307,0.943,0.213,A#,0.0251,-7.95,Major,0.0419,111.57700000000001,4/4,0.55
153005,Rock,Young the Giant,Oblivion,17UvqEUnFxX3jyLAqiIsCw,53,3,0.00165,0.305,228573,0.7040000000000001,0.0357,E,0.172,-7.727,Major,0.0394,169.91,4/4,0.38
153006,Rock,Brandon Heath,Give Me Your Eyes,7HQn99HBIBHWkZfTMR8Kki,56,3,0.16399999999999998,0.627,232693,0.6629999999999999,0.0,F#,0.11800000000000001,-2.714,Major,0.0329,90.05799999999999,4/4,0.39
153007,Rock,The Supremes,Stop! In The Name Of Love,5yfrc6CGOXxDWx3nGUDcNj,66,3,0.508,0.628,172933,0.593,0.0,C,0.10400000000000001,-7.515,Major,0.0279,114.944,4/4,0.488
153008,Rock,Natalia Lafourcade,Tú Sí Sabes Quererme (feat. Los Macorinos),6p3yxt0uJJshAS3CT0znQg,68,3,0.782,0.664,244933,0.46,3.2e-06,C#,0.17600000000000002,-10.974,Minor,0.105,170.05700000000002,4/4,0.792
153009,Rock,Ambrosia,How Much I Feel (45 Version),0Dqo5HkmsQvJJ0kExomBcy,50,2,0.287,0.679,285200,0.33299999999999996,0.0,E,0.14,-16.379,Major,0.028999999999999998,95.35600000000001,4/4,0.565
