,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
197503,Soundtrack,Thomas Newman,Nemo Egg (Main Title),7jSQaXLzpLHjSQTev2krvT,66,3,0.978,0.19699999999999998,76133,0.0364,0.975,F,0.102,-27.405,Major,0.0455,82.96600000000001,3/4,0.0581
197504,Soundtrack,Max Richter,A Catalogue Of Afternoons,42c1ppLBsSbUjFNDzYLY10,72,3,0.996,0.124,110880,0.0924,0.848,B,0.0935,-31.726,Major,0.0412,205.99900000000002,5/4,0.135
197505,Soundtrack,Hans Zimmer,Time,6ZFbXIJkuI1dVNWvzJzown,72,3,0.155,0.221,275547,0.0879,0.698,G,0.0869,-16.996,Major,0.0381,126.62200000000001,4/4,0.0401
197506,Soundtrack,Randy Newman,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",2stkLJ0JNcXkIRDNF3ld6c,67,3,0.7929999999999999,0.6809999999999999,124160,0.335,3.39e-06,D#,0.285,-12.151,Major,0.0336,115.883,4/4,0.532
197507,Soundtrack,Jóhann Jóhannsson,Flight From The City,3Sy6wgTNEp6vSgLs4EyXAf,66,3,0.932,0.13,391160,0.086,0.912,A#,0.10800000000000001,-21.92,Major,0.0373,90.223,4/4,0.0375
197508,Soundtrack,Yann Tiersen,"Comptine d'un autre été, l'après-midi",4O2N861eOnF9q8EtpH8IJu,62,3,0.991,0.484,140733,0.192,0.9079999999999999,D,0.106,-15.378,Major,0.0465,100.084,4/4,0.0559
197509,Soundtrack,Hans Zimmer,Cornfield Chase,15WRWc3qqlyAzTne9q5tQK,68,3,0.948,0.33,126960,0.22899999999999998,0.973,A,0.0998,-16.442,Minor,0.0375,96.15799999999999,4/4,0.0593
197510,Soundtrack,Justin Hurwitz,Moon Walk,2VH5WOoCqSDbsmJVwJslBx,63,3,0.812,0.214,89799,0.209,0.9329999999999999,F#,0.21899999999999997,-21.901,Minor,0.0557,72.683,4/4,0.0319
197511,Soundtrack,Max Richter,Vladimir's Blues,370TxU3tPIvVLmCrGd2EZ6,62,3,0.995,0.38299999999999995,78547,0.17,0.847,A,0.105,-21.87,Major,0.0685,115.803,3/4,0.069
197512,Soundtrack,Max Richter,the end of all our exploring,3mVrRcYW3i21oY2SoJhlCM,67,3,0.995,0.507,215333,0.0249,0.9309999999999999,D#,0.0944,-32.35,Major,0.0409,149.976,4/4,0.124
197513,Soundtrack,Max Richter,A Lamenting Song,1GkAK6lX1NKI51YmMy7oR0,62,3,0.988,0.563,109739,0.0285,0.961,C,0.12,-29.639,Minor,0.0625,72.97,5/4,0.292
197514,Soundtrack,Max Richter,Dream 1 (before the wind blows it all away) - Pt. 1,3FVy3aVs0TFzLv6FEiLqC2,67,3,0.995,0.214,153101,0.00144,0.968,F#,0.0998,-39.869,Major,0.0487,72.046,4/4,0.0866
197515,Soundtrack,Michael Giacchino,Married Life,7iocNjLrxPHLl8njgRlv5U,63,3,0.9670000000000001,0.27899999999999997,250573,0.07400000000000001,0.648,C,0.0833,-21.124000000000002,Major,0.0461,165.27,3/4,0.11
197516,Soundtrack,Klaus Badelt,He's a Pirate,08QaHlMPWuO5PUxjl61bXn,59,3,0.0206,0.465,90427,0.687,0.929,A#,0.121,-10.964,Major,0.0495,70.507,4/4,0.13
197517,Soundtrack,Dario Marianelli,A Game of Badminton,02BumRY2OTFMkMxrXSVMat,66,3,0.9940000000000001,0.375,58387,0.00406,0.9079999999999999,G,0.0842,-31.824,Minor,0.0671,139.68200000000002,1/4,0.358
197518,Soundtrack,Justin Hurwitz,Quarantine,33WEwYZVLUtuYOHSEtVBlg,65,3,0.9670000000000001,0.29100000000000004,135107,0.0478,0.9229999999999999,C#,0.10300000000000001,-27.58,Minor,0.0334,93.516,3/4,0.295
197519,Soundtrack,Dustin O'Halloran,Summer Waltz / The Drive,4FSCzl1G0xzaaE6hiNELv4,59,3,0.9690000000000001,0.336,90093,0.0946,0.877,C,0.14,-21.595,Major,0.0473,145.596,3/4,0.244
197520,Soundtrack,John Williams,Duel of the Fates,1ghlpxVfPbFH2jenrv9vVw,61,3,0.733,0.47100000000000003,254347,0.41100000000000003,0.853,D,0.28,-15.755,Major,0.040999999999999995,79.986,4/4,0.282
197521,Soundtrack,Max Richter,Departure (Home),6oL99CBEXTL8vZ5PpmknXk,65,3,0.996,0.325,114289,0.039,0.929,D#,0.09699999999999999,-30.756999999999998,Major,0.0577,75.783,4/4,0.235
197522,Soundtrack,Gustavo Santaolalla,The Choice,2IXJyG1DX93g2EhFXghz37,63,3,0.909,0.303,102373,0.0033799999999999998,0.89,E,0.11599999999999999,-30.932,Minor,0.0493,50.96,4/4,0.34700000000000003
197523,Soundtrack,Dustin O'Halloran,Home,7eTDwpm5XKKssoMhMbo67y,64,3,0.946,0.327,160812,0.0733,0.9129999999999999,A,0.33899999999999997,-20.666999999999998,Minor,0.04,137.139,4/4,0.0384
